Gender,Height (inches),Weight (lbs)
Female,66,-2
Male,73,210
Female,65,135
Female,62,115
Female,64,127
Male,69,170
Male,64,125
Male,69,165
Male,71,135
Male,71,151
Male,73,185
Male,69,160
Female,57,85
Male,67,140
Male,71,179
Female,63,117
Male,65,150
Female,62,113
Male,65,143
Male,67,135
Female,63,135
Female,66,130
Male,76,215
Male,66,175
Male,67,200
Male,67,140
Female,63,140
Male,74,230
Male,70,141
Female,65,120
Male,65,120
Male,72,192
Female,61,143
Female,61,124
Male,69,195
Female,62,120
Female,69,160
Male,72,160
Male,68,145
Male,71,205
Male,72,185
Female,67,155
Male,72,225
Male,68,160
Male,70,150
Female,62,145
Female,64,150
Male,70,135
Male,66,130
Male,68,150
Male,65,140
Female,62,128
Male,71,158
Female,62,100
Male,73,148
Male,62,109
Male,71,155
Female,63,120
Male,74,183
Male,70,140
Male,72,164
Male,76,150
Male,66,141
Female,62,140
Female,68,180
Male,75,218
Female,64,115
Female,61,111
Female,62,130
Female,66,150
Female,66,124
Male,72,240
Male,75,170
Male,69,170
Male,72,135
Male,67,145
Male,68,125
Female,63,105
Male,72,140
Female,70,135
Female,61,110
Male,61,153
Female,65,160
Female,67,190
Male,64,101
Male,75,175
Female,69,135
Female,61,100
Female,70,145
Male,70,196
Female,65,107
Female,67,130
Male,70,160
Male,71,185
Female,62,-2
Male,72,195
Female,60,130
Female,58,135
Male,69,155
Female,64,125
Male,66,135
Male,64,152
Male,71,190
Male,70,160
Female,69,140
Male,69,200
Female,65,130
Male,71,139
Female,64,115
Male,70,155
Male,69,120
Male,72,150
Male,69,137
Male,66,130
Male,71,142
Male,62,140
Male,72,165
Female,69,146
Male,70,140
Female,65,106
Male,70,153
Male,68,200
Male,72,162
Male,68,175
Male,70,145
Female,61,105
Male,70,175
Male,68,130
Male,63,128
Female,66,120
Female,63,150
Female,69,170
Male,69,145
Male,73,180
Male,64,117
Female,69,155
Male,69,155
Male,67,115
Female,64,133
Female,69,175
Female,64,140
Male,70,135
Female,71,-1
Male,66,150
Female,65,105
Female,66,98
Male,66,140
Male,67,130
Male,75,185
Male,70,125
Male,67,170
Female,62,125
Male,69,160
Female,60,110
Male,68,165
Male,74,265
Male,73,155
Female,63,125
Male,70,180
Male,68,145
Male,71,200
Female,64,160
Male,72,165
Female,66,210
Female,60,110
Female,66,187
Male,71,135
Female,66,160
Female,62,115
Male,75,300
Female,63,135
Female,64,121
Female,63,110
Male,70,165
Female,65,240
Male,69,180
Male,71,142
Female,65,138
Female,63,113
Female,64,210
Female,63,110
Male,76,207
Female,59,115
Male,75,265
Female,62,115
Male,76,250
Female,62,130
Male,62,138
Female,62,135
Female,63,130
Male,70,245
Male,74,160
Female,68,175
Male,71,148
Female,69,150
Female,66,140
Male,69,150
Male,66,107
Male,72,140
Male,70,190
Male,74,270
Female,64,110
Female,64,115
Female,62,95
Female,60,-2
Female,61,123
Male,70,265
Female,61,115
Male,70,130
Male,69,160
Male,69,178
Female,67,128
Male,68,165
Male,72,150
Male,72,135
Female,63,125
Male,68,130
Female,64,131
Female,68,190
Male,67,138
Female,69,149
Male,68,170
Female,66,127
Female,62,130
Female,62,115
Male,67,140
Male,66,165
Male,69,180
Male,70,170
Male,71,160
Female,64,126
Female,63,130
Male,66,130
Female,64,150
Female,64,125
Male,71,180
Male,69,158
Male,72,194
Female,65,180
Female,67,170
Male,70,190
Female,63,140
Male,71,200
Male,66,125
Male,73,140
Female,65,170
Male,71,170
Female,64,139
Male,70,170
Male,69,130
Male,76,235
Male,74,160
Male,70,145
Male,71,180
Female,67,145
Female,68,140
Male,74,230
Female,69,184
Male,68,140
Male,73,165
Male,69,135
Female,65,130
Female,64,124
Male,69,218
Male,73,250
Female,64,160
Male,67,145
Male,74,165
Female,67,133
Male,71,145
Female,66,195
Male,66,100
Female,66,187
Female,67,140
Female,65,117
Female,64,120
Female,66,110
Male,70,165
Female,64,110
Male,68,180
Female,63,118
Male,72,280
Male,69,145
Male,72,150
Female,67,125
Male,71,150
Female,63,125
Male,76,180
Male,72,195
Female,65,136
Female,62,125
Female,63,105
Male,61,90
Male,69,150
Male,71,170
Male,70,135
Female,65,130
Male,71,290
Female,65,140
Female,69,135
Male,72,137
Female,63,120
Female,63,98
Male,74,155
Male,65,140
Female,64,132
Female,63,145
Female,62,180
Female,61,100
Male,73,175
Female,66,132
Male,68,126
Male,71,135
Male,70,130
Male,71,165
Male,71,170
Male,70,140
Female,67,-1
Female,68,174
Female,63,124
Male,74,150
Male,75,170
Male,68,200
Male,72,200
Female,68,145
Male,76,175
Male,66,150
Female,66,170
Male,73,210
Female,67,145
Male,71,170
Male,75,205
Male,69,170
Male,74,185
Female,66,135
Male,69,125
Female,68,155
Female,67,135
Female,64,135
Male,72,175
Male,66,124
Male,73,198
Female,66,120
Female,69,145
Male,68,148
Male,69,150
Male,67,146
Male,69,170
Male,67,119
Female,64,195
Female,67,125
Female,71,200
Female,69,130
Male,73,180
Female,68,165
Female,65,153
Female,67,125
Male,71,135
Female,64,110
Male,71,240
Male,65,120
Female,66,120
Male,72,150
Male,67,85
Female,65,125
Male,74,145
Male,64,140
Female,63,145
Female,74,160
Female,69,130
Female,63,110
Female,63,125
Male,72,160
Female,67,130
Male,67,160
Male,67,146
Male,74,165
Female,65,140
Female,67,120
Male,71,140
Male,71,140
Female,61,115
Male,74,200
Female,66,120
Female,64,200
Female,65,140
Male,72,150
Female,63,104
Female,66,123
Male,70,140
Male,72,165
Male,68,135
Female,67,115
Female,70,120
Female,66,170
Male,71,215
Male,72,149
Female,68,167
Female,70,160
Female,64,125
Female,64,150
Male,64,100
Male,69,140
Male,69,165
Female,64,120
Male,71,145
Male,73,185
Male,76,155
Male,74,150
Male,71,153
Male,70,173
Female,66,107
Female,66,160
Male,74,165
Male,72,150
Male,68,145
Male,72,245
Female,67,100
Male,71,150
Female,63,110
Female,66,115
Female,66,155
Male,76,185
Male,67,165
Female,61,122
Male,68,123
Male,70,185
Male,75,168
Male,68,120
Female,67,129
Female,63,102
Male,62,105
Female,61,-2
Male,74,280
Female,68,145
Female,61,220
Female,70,160
Female,61,105
Male,69,150
Male,64,100
Female,65,134
Male,71,155
Male,72,150
Male,68,155
Male,73,170
Female,66,125
Male,67,220
Male,62,120
Male,74,158
Male,68,135
Female,67,120
Female,67,129
Male,68,150
Male,76,178
Male,76,178
Female,64,98
Female,64,130
Female,60,115
Male,74,165
Female,66,130
Female,68,128
Female,69,145
Female,66,145
Male,70,145
Male,71,150
Female,63,113
Male,67,130
Male,68,145
Female,64,135
Male,71,150
Male,69,150
Female,67,260
Male,68,160
Male,67,155
Female,64,-2
Female,65,105
Male,74,215
Male,72,138
Female,61,128
Female,61,120
Female,63,108
Female,65,140
Female,64,150
Male,74,170
Female,63,165
Male,71,180
Male,73,220
Female,62,120
Female,64,120
Female,60,105
Female,65,140
Female,68,220
Female,67,150
Male,72,250
Female,66,160
Male,67,170
Male,73,150
Male,75,210
Male,71,180
Female,65,120
Female,66,145
Male,75,288
Male,69,130
Female,67,145
Female,68,130
Male,64,115
Male,69,240
Male,69,170
Female,60,115
Female,68,160
Female,68,127
Female,68,130
Female,62,150
Female,66,140
Male,67,120
Male,76,168
Female,67,185
Male,68,175
Female,70,-2
Female,67,190
Male,79,350
Female,64,110
Female,68,140
Female,69,140
Male,67,169
Female,61,138
Female,64,-1
Male,72,250
Male,68,180
Female,66,170
Male,71,194
Female,69,175
Female,62,100
Female,63,122
Male,68,130
Female,63,145
Male,67,150
Female,70,125
Female,71,150
Female,62,110
Female,68,225
Female,65,127
Female,64,110
Female,60,105
Male,68,330
Female,63,97
Female,62,110
Female,64,140
Male,71,175
Male,68,120
Female,63,140
Male,74,160
Female,65,180
Female,67,220
Male,70,220
Female,70,155
Male,69,135
Female,61,120
Male,71,168
Male,63,165
Female,61,120
Female,62,120
Male,75,180
Male,68,120
Male,70,240
Female,67,140
Female,62,110
Male,71,220
Male,72,270
Male,76,240
Male,71,170
Male,71,155
Male,65,130
Female,60,105
Female,62,125
Male,69,139
Male,66,120
Male,66,115
Male,70,180
Female,62,101
Male,72,175
Female,64,125
Male,72,160
Female,68,172
Male,63,120
Female,63,112
Male,66,170
Male,68,130
Male,69,160
Male,71,150
Male,74,220
Male,68,146
Male,72,205
Female,63,140
Female,58,120
Male,70,160
Female,62,116
Male,69,160
Male,70,165
Male,67,155
Female,64,120
Male,71,170
Male,66,155
Female,63,110
Female,61,99
Female,65,120
Male,70,165
Male,69,200
Male,72,155
Male,70,165
Male,68,145
Male,70,165
Male,74,185
Female,69,180
Male,64,121
Female,66,145
Male,75,167
Male,72,140
Female,61,130
Female,65,125
Female,64,120
Male,70,170
Male,66,160
Female,64,120
Female,62,115
Female,61,130
Female,62,130
Female,63,96
Female,67,135
Male,72,155
Male,71,145
Female,62,135
Male,68,150
Female,60,132
Female,62,110
Female,64,128
Male,74,162
Female,68,125
Male,72,172
Female,64,115
Male,69,110
Male,71,145
Male,72,195
Female,66,130
Female,64,108
Male,68,150
Male,64,164
Male,72,237
Female,64,130
Female,64,160
Female,69,280
Male,67,148
Male,70,210
Male,64,170
Male,71,134
Female,63,140
Male,72,215
Male,70,150
Male,67,165
Male,72,170
Male,69,125
Male,74,214
Male,70,130
Male,73,185
Female,68,160
Male,67,150
Male,72,170
Female,67,160
Female,67,170
Female,65,140
Male,66,140
Female,63,135
Male,72,170
Male,73,175
Male,70,155
Male,73,155
Male,74,160
Female,68,130
Female,63,140
Male,69,183
Male,70,255
Female,70,-2
Male,72,160
Male,68,125
Female,63,110
Female,71,200
Male,67,120
Female,66,150
Female,65,135
Male,67,135
Female,66,118
Female,58,103
Female,64,106
Male,70,185
Male,67,120
Female,63,135
Female,62,115
Male,72,170
Male,70,170
Female,65,120
Female,63,190
Female,68,140
Male,71,190
Female,66,145
Female,66,120
Male,71,150
Female,67,155
Female,65,125
Male,75,185
Male,63,118
Male,69,175
Male,71,180
Male,71,315
Female,64,125
Male,71,135
Female,68,108
Female,64,135
Female,64,120
Male,68,135
Male,72,150
Male,71,167
Female,64,140
Female,62,140
Female,61,130
Male,75,285
Female,66,145
Female,63,135
Female,62,115
Female,66,170
Male,68,127
Female,63,300
Male,72,160
Male,72,162
Male,69,210
Male,68,128
Male,74,200
Female,65,130
Male,74,185
Female,62,125
Male,68,120
Male,72,130
Male,65,130
Female,64,-2
Female,67,160
Male,70,138
Male,72,196
Female,62,100
Female,65,190
Male,68,258
Female,69,140
Male,77,207
Male,71,183
Male,71,170
Male,63,120
Female,61,100
Female,66,150
Male,72,143
Female,64,160
Male,69,145
Female,67,130
Female,64,102
Female,68,160
Male,74,125
Male,73,200
Male,72,140
Male,75,155
Male,73,205
Female,69,140
Male,70,135
Male,70,127
Female,63,110
Male,72,150
Male,75,165
Female,66,120
Female,66,115
Male,73,155
Male,71,156
Male,71,125
Male,77,165
Female,65,210
Male,63,125
Male,71,185
Male,68,220
Male,67,220
Male,71,145
Male,63,120
Female,64,110
Male,68,220
Male,69,170
Female,63,195
Male,82,195
Male,77,180
Male,61,83
Male,68,130
Female,63,120
Female,64,135
Female,62,120
Female,67,115
Male,66,125
Male,68,150
Female,69,190
Male,71,165
Male,75,200
Female,69,140
Female,64,110
Male,76,155
Male,73,140
Male,67,150
Male,69,135
Female,68,130
Male,73,140
Male,73,193
Male,67,135
Female,60,115
Male,76,290
Male,75,260
Male,68,140
Female,70,140
Male,75,175
Male,72,156
Female,67,125
Male,68,125
Female,66,120
Male,67,130
Female,66,165
Male,72,135
Female,63,135
Female,67,140
Female,66,-1
Male,73,185
Female,60,75
Female,60,140
Female,68,150
Male,74,155
Female,68,127
Female,63,122
Female,68,140
Male,74,-2
Male,69,175
Male,73,186
Male,72,165
Female,67,155
Male,74,150
Female,66,125
Female,63,130
Female,60,107
Female,61,140
Male,73,175
Female,63,118
Female,64,115
Female,63,125
Male,70,170
Female,65,145
Female,70,145
Female,68,155
Male,69,135
Female,65,120
Male,64,110
Male,73,150
Female,69,185
Female,62,118
Male,68,180
Male,64,120
Female,64,145
Female,67,155
Male,71,225
Male,71,190
Female,63,140
Female,66,142
Male,72,230
Female,68,172
Male,62,130
Male,58,130
Female,67,160
Female,63,125
Male,67,165
Female,63,112
Female,64,108
Male,74,185
Male,71,160
Male,71,155
Male,72,140
Female,69,155
Male,69,150
Female,60,100
Female,62,146
Female,68,200
Female,65,175
Female,62,135
Female,63,120
Male,72,135
Female,70,135
Female,62,109
Female,69,130
Female,64,125
Female,66,135
Female,70,145
Female,64,130
Female,62,135
Female,65,125
Female,65,135
Male,71,135
Male,70,150
Male,71,180
Male,68,135
Female,67,170
Female,61,118
Female,65,120
Female,66,180
Female,62,120
Male,67,135
Female,68,103
Female,65,130
Male,68,170
Female,61,135
Male,68,150
Male,72,200
Female,70,210
Male,72,220
Male,69,130
Female,61,110
Male,74,202
Female,67,150
Female,65,120
Male,70,150
Male,73,185
Male,69,135
Female,62,100
Male,72,170
Male,77,260
Female,69,130
Female,61,135
Female,64,130
Female,61,135
Female,65,130
Male,72,130
Female,63,106
Male,73,140
Female,62,115
Male,67,110
Male,68,200
Male,77,190
Female,67,145
Male,74,265
Male,66,170
Female,66,140
Female,67,130
Male,67,225
Male,73,160
Female,63,115
Female,69,145
Female,67,195
Female,61,140
Male,68,160
Male,72,155
Male,72,165
Female,62,105
Female,63,230
Male,72,180
Male,70,132
Female,64,115
Female,65,140
Female,66,141
Male,70,200
Male,72,220
Male,73,175
Female,66,110
Female,63,110
Male,72,161
Female,64,132
Female,66,137
Female,66,135
Female,65,190
Female,64,140
Male,68,200
Male,64,145
Female,64,130
Male,75,165
Female,69,145
Male,67,145
Male,74,150
Female,62,120
Male,66,180
Female,66,130
Male,69,210
Male,68,136
Female,66,129
Male,72,200
Male,64,230
Female,64,200
Male,62,195
Female,55,126
Male,74,149
Male,75,240
Female,66,175
Male,72,182
Male,72,202
Female,63,125
Female,64,135
Male,72,122
Female,64,116
Female,61,96
Male,72,160
Male,67,125
Female,65,130
Male,70,143
Female,65,140
Male,76,250
Female,64,125
Female,62,170
Male,64,138
Female,67,135
Female,67,145
Female,68,130
Male,60,90
Male,74,200
Female,66,116
Male,73,260
Male,77,280
Male,67,220
Male,76,220
Female,64,120
Female,68,130
Male,67,125
Male,72,150
Female,64,108
Female,65,130
Male,64,256
Female,65,143
Male,72,156
Male,75,203
Male,68,160
Male,70,165
Male,74,140
Female,68,100
Female,65,120
Male,65,137
Male,65,122
Female,64,132
Male,68,135
Male,71,135
Female,66,155
Female,67,130
Female,67,130
Female,63,92
Female,68,115
Male,71,120
Female,62,128
Male,73,185
Female,65,125
Female,69,145
Male,75,200
Female,63,181
Female,68,130
Female,65,95
Female,63,115
Female,63,105
Male,67,150
Male,67,195
Female,62,130
Male,63,180
Female,67,160
Female,62,130
Male,69,230
Male,70,174
Female,65,119
Female,63,96
Female,66,140
Female,65,123
Female,65,169
Female,63,180
Male,74,190
Male,71,175
Male,69,125
Female,64,115
Male,64,175
Male,58,76
Female,67,123
Female,61,118
Female,61,120
Female,64,136
Female,61,146
Male,68,140
Male,65,110
Male,70,150
Male,75,155
Male,72,135
Male,67,116
Female,63,140
Male,74,255
Female,62,96
Male,64,102
Male,75,150
Male,75,155
Male,75,170
Female,65,108
Female,62,120
Male,69,140
Male,70,185
Male,73,185
Male,67,155
Male,74,180
Male,70,130
Female,62,100
Male,72,155
Male,63,140
Male,68,142
Female,68,145
Male,69,120
Female,67,210
Male,69,165
Female,71,185
Female,64,105
Male,69,131
Male,71,130
Male,68,145
Female,68,125
Female,71,198
Male,69,120
Female,66,110
Male,71,150
Female,66,143
Male,74,170
Male,67,145
Female,67,120
Female,65,140
Male,72,155
Male,71,160
Male,70,160
Female,68,175
Female,67,170
Male,64,135
Female,63,130
Female,65,145
Male,74,175
Male,71,120
Female,67,125
Male,68,145
Female,65,165
Male,69,185
Male,69,139
Male,73,147
Male,71,155
Female,64,130
Male,72,250
Male,67,145
Female,56,160
Female,66,130
Male,68,147
Female,65,126
Female,65,130
Female,67,115
Male,67,165
Female,65,125
Male,68,181
Female,63,120
Female,68,130
Male,71,175
Female,64,140
Female,67,135
Female,68,-2
Female,66,225
Male,69,158
Male,66,120
Female,65,130
Female,65,175
Female,66,130
Male,72,132
Male,73,125
Male,66,219
Male,74,210
Male,67,165
Female,76,135
Male,80,180
Female,67,108
Male,71,200
Female,68,130
Female,65,175
Male,71,230
Female,65,130
Male,71,165
Male,69,240
Male,70,117
Male,68,170
Male,73,160
Female,68,125
Female,67,125
Male,74,160
Male,73,150
Male,61,130
Female,63,141
Male,68,140
Male,73,175
Male,74,175
Male,69,210
Male,67,133
Male,65,125
Male,74,140
Female,66,120
Female,67,145
Female,62,140
Female,58,155
Female,64,130
Male,68,164
Female,64,130
Male,69,230
Female,67,149
Male,72,155
Female,62,140
Female,64,118
Male,69,171
Female,69,135
Male,69,165
Female,63,115
Male,72,180
Male,69,135
Female,64,114
Female,69,180
Female,62,100
Female,64,120
Female,65,117
Female,65,128
Male,71,290
Female,61,125
Female,63,150
Male,68,162
Male,70,160
Female,67,135
Male,74,158
Female,63,190
Female,68,130
Male,76,184
Male,77,200
Female,63,95
Female,69,130
Female,69,140
Female,65,145
Female,66,138
Male,72,155
Male,76,265
Female,66,143
Male,70,140
Male,69,165
Female,64,136
Male,69,152
Male,68,240
Female,65,135
Female,64,112
Male,70,165
Male,72,145
Female,70,130
Male,72,185
Female,66,130
Female,62,130
Male,67,230
Male,63,130
Female,60,85
Female,64,208
Male,72,155
Female,63,107
Male,67,140
Male,67,140
Female,62,106
Male,72,205
Male,69,172
Male,69,142
Female,60,122
Male,62,125
Male,67,130
Male,65,170
Male,66,175
Male,70,172
Male,64,144
Female,60,105
Male,73,165
Male,76,151
Male,65,115
Male,72,275
Male,68,150
Female,60,100
Female,60,100
Male,69,150
Male,69,146
Male,67,140
Female,66,120
Male,65,145
Female,61,115
Male,68,143
Male,77,225
Female,64,107
Male,76,200
Male,72,180
Male,71,175
Female,66,127
Female,67,115
Male,69,175
Female,65,112
Female,63,126
Male,67,150
Male,72,185
Male,72,144
Male,67,150
Female,64,160
Female,63,110
Male,68,139
Female,64,118
Male,71,210
Male,67,117
Female,64,110
Male,66,127
Female,63,115
Female,62,101
Male,70,145
Male,69,137
Male,65,138
Female,63,105
Female,64,148
Female,65,108
Male,74,220
Male,62,112
Female,64,130
Female,60,146
Female,65,180
Male,67,175
Male,68,150
Female,63,160
Female,62,130
Female,62,229
Male,72,150
Female,65,132
Male,75,250
Male,68,145
Male,69,170
Female,68,230
Female,65,110
Male,71,140
Female,64,135
Female,63,110
Male,74,160
Male,74,180
Male,70,140
Male,71,137
Female,66,120
Female,62,115
Male,71,135
Male,65,166
Female,64,110
Female,67,117
Female,68,125
Female,62,110
Female,67,190
Male,72,180
Female,63,90
Female,66,175
Male,74,215
Female,67,158
Female,65,-2
Female,69,157
Female,68,275
Male,71,250
Female,63,160
Male,67,120
Female,66,102
Male,67,145
Male,69,145
Female,64,97
Male,72,155
Male,71,205
Female,69,-2
Female,60,101
Female,65,110
Female,66,110
Male,70,-2
Male,70,150
Male,70,220
Female,62,132
Male,71,176
Male,72,198
Female,68,125
Female,64,125
Female,66,102
Male,74,260
Female,65,117
Female,65,140
Male,71,155
Female,63,170
Male,69,210
Female,66,125
Male,71,162
Male,72,212
Female,66,211
Male,66,125
Female,72,193
Male,75,185
Male,61,105
Male,71,140
Male,65,130
Male,71,196
Male,69,145
Female,68,185
Male,72,115
Male,76,262
Female,63,170
Male,71,205
Female,63,130
Female,68,153
Male,70,145
Male,68,148
Female,63,143
Male,70,185
Female,64,100
Male,69,160
Male,70,140
Female,61,105
Male,70,145
Male,67,150
Female,67,160
Female,63,124
Female,63,210
Female,64,231
Female,67,130
Female,68,220
Female,62,135
Male,69,165
Male,73,177
Female,66,119
Male,70,130
Female,63,150
Male,68,190
Female,66,150
Female,66,139
Male,68,140
Male,67,235
Male,70,215
Female,66,115
Female,63,155
Male,68,135
Male,54,165
Female,65,-2
Female,66,-2
Female,67,124
Male,68,175
Male,70,140
Female,67,141
Female,63,130
Male,69,125
Male,74,197
Male,71,185
Male,72,160
Male,73,205
Female,66,124
Male,64,140
Female,61,128
Female,57,130
Male,75,185
Male,72,150
Male,67,156
Female,69,195
Female,61,160
Male,69,165
Female,66,165
Female,60,175
Female,64,101
Female,62,130
Female,64,120
Female,62,156
Male,73,175
Male,73,170
Female,63,105
Female,66,145
Male,68,150
Male,67,125
Male,70,145
Female,68,260
Male,69,170
Male,73,190
Male,72,200
Female,70,145
Male,66,120
Female,72,170
Male,64,140
Female,65,123
Male,69,165
Male,71,145
Female,67,150
Female,61,128
Male,63,132
Female,67,135
Male,67,135
Male,66,125
Female,64,130
Male,68,120
Female,65,105
Female,68,135
Female,65,112
Male,69,185
Male,71,170
Male,74,155
Female,66,135
Female,64,115
Female,63,135
Male,68,115
Female,68,-1
Male,72,126
Female,68,145
Female,61,135
Female,65,150
Male,78,240
Female,66,145
Male,72,260
Female,69,165
Female,64,125
Male,66,215
Female,64,210
Male,68,191
Female,65,136
Female,62,106
Female,79,167
Female,71,150
Female,69,115
Male,65,200
Female,60,106
Female,65,140
Female,60,108
Female,63,125
Female,60,120
Male,71,140
Female,64,118
Male,66,135
Female,67,-2
Female,62,106
Male,72,190
Female,63,110
Male,72,150
Female,63,105
Male,74,170
Male,72,170
Male,75,165
Male,72,160
Male,65,145
Female,64,120
Male,74,170
Female,64,128
Female,66,128
Male,71,138
Male,69,160
Male,69,147
Male,70,145
Male,71,155
Male,70,220
Male,71,175
Female,66,118
Female,67,105
Female,60,115
Female,66,165
Male,66,130
Male,71,184
Female,69,130
Female,73,155
Female,68,-1
Male,73,145
Female,65,125
Female,68,129
Female,64,125
Male,72,140
Male,72,182
Female,67,140
Female,68,120
Female,66,130
Female,66,-2
Male,73,245
Male,74,185
Female,66,-2
Male,73,225
Female,64,118
Male,68,125
Male,69,136
Male,68,137
Male,69,130
Female,62,81
Female,65,130
Male,70,155
Male,69,155
Male,68,150
Male,68,130
Male,70,195
Male,68,121
Male,68,150
Male,76,170
Male,76,160
Female,70,150
Male,71,170
Male,69,155
Female,64,107
Male,75,145
Female,67,110
Female,66,135
Female,64,168
Female,67,175
Male,70,140
Female,69,152
Female,64,115
Female,65,145
Male,66,120
Female,66,135
Female,64,140
Female,63,135
Male,64,120
Male,69,163
Male,72,170
Female,64,128
Male,72,165
Female,68,160
Female,62,213
Female,65,145
Male,71,165
Male,70,165
Female,66,130
Female,63,160
Male,71,160
Female,68,180
Male,70,147
Female,67,160
Female,65,180
Male,67,190
Female,64,125
Male,63,106
Male,71,190
Female,63,170
Female,63,148
Male,75,280
Female,68,195
Male,71,150
Male,66,190
Female,62,100
Male,70,115
Female,60,94
Female,65,150
Female,65,180
Male,72,230
Male,71,145
Male,70,160
Male,72,160
Female,66,140
Male,66,150
Female,64,130
Male,71,155
Female,65,100
Male,67,140
Male,73,185
Female,64,140
Female,61,115
Female,61,110
Male,72,150
Female,67,210
Male,66,180
Male,69,170
Female,63,115
Female,64,118
Female,62,107
Male,72,225
Male,72,180
Male,71,175
Male,70,150
Female,67,135
Female,62,170
Female,65,165
Female,62,117
Female,63,118
Female,63,120
Male,69,146
Male,66,160
Male,74,155
Female,69,143
Female,65,140
Male,71,150
Male,73,150
Female,61,130
Female,66,130
Female,64,140
Female,65,128
Male,74,148
Male,74,192
Male,72,205
Male,72,130
Male,75,175
Female,64,150
Male,66,130
Female,65,130
Female,63,250
Female,67,135
Female,64,160
Female,66,135
Male,72,156
Male,66,155
Female,62,152
Male,69,210
Female,64,120
Male,66,180
Male,66,124
Female,63,162
Male,69,155
Male,71,180
Female,63,125
Male,72,150
Female,69,157
Male,75,160
Male,76,172
Female,68,125
Female,61,120
Female,62,110
Female,62,110
Male,70,190
Female,67,120
Female,62,125
Male,70,285
Female,64,115
Male,83,200
Female,69,135
Female,64,165
Female,68,210
Female,65,111
Male,70,165
Male,73,170
Female,66,105
Male,71,157
Male,71,130
Male,73,205
Male,69,160
Male,69,159
Female,69,160
Male,74,170
Female,60,120
Male,72,165
Male,70,140
Male,62,145
Female,69,165
Male,72,181
Male,65,115
Female,61,145
Male,73,201
Female,64,160
Female,68,187
Male,67,150
Male,72,170
Male,69,170
Female,64,135
Female,65,180
Male,80,230
Female,63,137
Female,70,230
Male,73,230
Male,66,182
Male,70,215
Female,65,250
Female,65,226
Male,68,203
Female,69,234
Female,64,125
Male,72,140
Male,72,150
Male,75,230
Female,62,130
Male,67,150
Female,68,170
Female,62,135
Male,68,165
Female,65,112
Male,70,140
Male,69,200
Female,63,131
Female,67,180
Male,70,180
Female,66,140
Male,71,145
Male,66,143
Female,65,106
Female,66,200
Male,66,140
Male,68,270
Female,63,120
Male,67,130
Female,62,120
Female,63,107
Male,67,125
Female,63,125
Female,61,105
Male,68,140
Female,63,130
Female,63,100
Female,67,195
Male,69,185
Male,67,125
Female,68,130
Female,71,168
Male,65,155
Female,61,112
Female,64,175
Female,60,106
Female,63,135
Female,67,200
Male,74,250
Female,62,136
Male,69,150
Male,67,124
Female,69,221
Male,69,180
Male,76,171
Female,68,130
Male,71,150
Female,64,90
Female,62,110
Male,68,165
Female,62,140
Female,64,125
Female,64,205
Male,70,130
Female,65,120
Male,69,140
Male,63,180
Female,61,95
Male,67,115
Female,66,160
Male,69,165
Female,62,120
Male,74,155
Male,65,185
Male,74,170
Male,66,120
Male,75,130
Male,68,140
Female,62,160
Female,64,145
Male,65,135
Male,68,135
Female,64,120
Male,69,150
Male,66,140
Male,75,225
Male,74,260
Female,66,108
Female,63,105
Female,65,110
Male,68,162
Male,67,170
Male,73,160
Female,70,135
Male,75,220
Male,67,150
Female,65,110
Male,66,120
Female,69,125
Male,73,160
Male,72,175
Male,74,207
Female,64,105
Female,61,110
Male,73,150
Male,74,182
Female,62,135
Male,72,235
Female,62,153
Female,64,220
Male,69,145
Male,66,180
Female,60,105
Female,67,280
Male,67,225
Male,67,137
Male,65,100
Female,63,110
Female,61,134
Female,65,140
Male,74,174
Female,61,110
Female,61,97
Male,68,140
Male,67,111
Male,68,165
Female,62,102
Female,61,135
Male,73,235
Female,64,120
Male,73,165
Male,68,195
Female,65,180
Male,69,158
Male,65,145
Female,65,-2
Male,69,196
Female,62,98
Female,68,127
Male,76,190
Female,62,108
Male,67,120
Male,66,140
Female,52,118
Male,77,220
Female,66,130
Female,65,130
Male,70,148
Female,61,106
Male,65,150
Female,65,180
Male,70,185
Female,63,105
Male,71,145
Male,68,105
Female,66,135
Male,72,175
Male,66,120
Female,66,150
Male,68,175
Male,63,100
Male,67,130
Female,65,160
Female,60,120
Female,66,120
Female,61,100
Female,72,115
Female,63,190
Female,61,105
Female,63,110
Male,68,135
Female,64,115
Female,64,108
Female,67,160
Male,67,145
Male,64,118
Female,66,125
Male,69,150
Female,63,110
Male,68,195
Female,61,102
Male,66,115
Male,68,135
Female,60,120
Male,72,295
Male,63,150
Female,63,110
Female,61,150
Female,55,189
Female,54,148
Female,59,95
Male,66,110
Male,68,165
Female,66,117
Female,63,125
Female,62,115
Male,68,150
Male,69,140
Male,63,130
Female,68,106
Male,66,140
Female,66,125
Male,72,145
Female,69,137
Female,69,120
Female,65,118
Male,69,143
Female,69,128
Male,63,140
Female,63,120
Male,73,150
Male,70,128
Female,67,265
Female,67,170
Female,68,150
Male,69,194
Male,76,155
Female,69,165
Female,69,135
Female,68,180
Female,67,115
Female,63,140
Female,71,172
Male,72,170
Female,63,128
Female,64,98
Male,69,160
Male,69,148
Female,64,118
Female,64,115
Male,61,100
Male,68,180
Female,65,130
Female,67,117
Male,71,140
Male,67,150
Male,70,160
Female,63,115
Male,74,155
Female,71,140
